customer_profile_key,age,age_bracket,job,marital_status,education,has_credit_default,has_housing_loan,has_personal_loan
57,47,46-55,entrepreneur,married,university.degree,unknown,no,no
58,51,46-55,blue-collar,married,basic.9y,no,yes,no
59,42,36-45,blue-collar,married,basic.6y,unknown,yes,no
60,42,36-45,blue-collar,married,basic.6y,unknown,no,no
61,48,46-55,admin.,married,high.school,no,no,no
62,37,36-45,admin.,married,university.degree,no,no,no
63,44,36-45,blue-collar,single,basic.9y,no,yes,no
64,33,26-35,admin.,married,unknown,no,yes,no
65,56,56-65,admin.,married,basic.9y,no,yes,no
66,44,36-45,blue-collar,single,basic.4y,unknown,yes,yes
67,41,36-45,management,married,basic.6y,no,no,no
68,44,36-45,management,divorced,university.degree,no,yes,no
69,47,46-55,admin.,married,university.degree,unknown,yes,no
70,57,56-65,unknown,married,unknown,unknown,no,no
71,37,36-45,admin.,married,university.degree,unknown,yes,no
72,41,36-45,blue-collar,divorced,basic.4y,unknown,yes,no
73,55,46-55,technician,married,university.degree,no,no,no
74,33,26-35,services,married,high.school,unknown,yes,no
75,55,46-55,management,married,unknown,unknown,yes,no
76,42,36-45,blue-collar,married,basic.9y,unknown,no,no
77,50,46-55,blue-collar,married,basic.4y,unknown,yes,no
78,51,46-55,blue-collar,married,basic.4y,unknown,unknown,unknown
79,38,36-45,admin.,married,high.school,unknown,no,no
80,49,46-55,entrepreneur,married,university.degree,unknown,yes,no
81,38,36-45,technician,single,university.degree,no,no,yes
82,31,26-35,admin.,divorced,high.school,no,no,no
83,39,36-45,admin.,married,university.degree,no,yes,yes
84,49,46-55,technician,married,basic.9y,no,no,no
85,34,26-35,admin.,married,high.school,no,yes,no
86,57,56-65,unknown,married,unknown,unknown,yes,no
87,60,56-65,admin.,married,unknown,unknown,no,yes
88,33,26-35,unemployed,married,basic.9y,no,no,no
89,42,36-45,blue-collar,married,basic.6y,no,no,yes
90,45,36-45,services,married,professional.course,no,yes,no
91,42,36-45,management,married,university.degree,no,no,no
92,53,46-55,admin.,divorced,university.degree,unknown,no,no
93,37,36-45,technician,single,professional.course,no,no,no
94,44,36-45,blue-collar,married,basic.6y,no,no,no
95,54,46-55,services,married,unknown,no,yes,no
96,49,46-55,blue-collar,married,basic.4y,no,no,no
97,54,46-55,services,married,unknown,no,no,no
98,52,46-55,admin.,divorced,university.degree,no,no,no
99,43,36-45,services,single,high.school,unknown,no,no
100,34,26-35,housemaid,married,basic.6y,no,yes,no
101,35,26-35,admin.,married,high.school,no,yes,no
102,42,36-45,entrepreneur,married,unknown,unknown,yes,no
103,43,36-45,technician,married,unknown,unknown,yes,yes
104,60,56-65,retired,divorced,university.degree,unknown,no,no
105,58,56-65,unemployed,married,basic.4y,unknown,no,no
106,35,26-35,services,divorced,high.school,no,yes,no
107,55,46-55,blue-collar,married,basic.9y,unknown,yes,no
108,37,36-45,management,married,university.degree,no,no,no
109,36,36-45,blue-collar,married,high.school,no,no,no
110,57,56-65,blue-collar,divorced,unknown,unknown,yes,no
111,56,56-65,admin.,married,unknown,no,yes,no
112,48,46-55,blue-collar,divorced,basic.4y,unknown,yes,no
113,40,36-45,blue-collar,married,high.school,unknown,yes,no
114,49,46-55,blue-collar,divorced,high.school,no,no,no
115,41,36-45,services,married,high.school,no,no,no
116,45,36-45,technician,married,high.school,no,yes,no
117,32,26-35,admin.,married,university.degree,no,yes,yes
118,42,36-45,admin.,married,university.degree,no,no,yes
119,50,46-55,admin.,married,basic.6y,no,no,no
120,31,26-35,technician,divorced,professional.course,no,yes,yes
121,56,56-65,retired,married,basic.4y,no,yes,no
122,41,36-45,technician,married,professional.course,unknown,yes,no
123,37,36-45,blue-collar,married,basic.6y,no,yes,yes
124,41,36-45,technician,married,professional.course,unknown,no,no
125,35,26-35,blue-collar,married,unknown,no,yes,no
126,37,36-45,blue-collar,married,basic.6y,no,yes,no
127,52,46-55,management,married,university.degree,no,no,no
128,39,36-45,management,divorced,university.degree,no,no,no
129,39,36-45,housemaid,married,basic.4y,unknown,no,no
130,56,56-65,blue-collar,married,basic.4y,unknown,no,no
131,34,26-35,services,married,high.school,no,yes,no
132,45,36-45,blue-collar,married,basic.9y,unknown,yes,no
133,43,36-45,unemployed,single,university.degree,no,yes,no
134,56,56-65,management,married,unknown,no,yes,no
135,39,36-45,management,married,university.degree,no,yes,no
136,53,46-55,blue-collar,married,basic.4y,no,yes,no
137,38,36-45,unknown,divorced,high.school,unknown,yes,no
138,42,36-45,blue-collar,married,basic.4y,unknown,yes,no
139,42,36-45,blue-collar,married,basic.4y,unknown,no,no
140,35,26-35,admin.,single,high.school,no,yes,no
141,40,36-45,admin.,married,university.degree,unknown,yes,no
142,51,46-55,blue-collar,married,basic.4y,no,yes,no
143,60,56-65,blue-collar,married,basic.9y,unknown,no,no
144,56,56-65,entrepreneur,married,unknown,unknown,yes,no
145,39,36-45,services,divorced,high.school,unknown,yes,no
146,56,56-65,entrepreneur,married,unknown,unknown,no,no
147,40,36-45,blue-collar,married,unknown,no,yes,yes
148,36,36-45,blue-collar,married,basic.9y,no,yes,yes
149,51,46-55,blue-collar,married,unknown,unknown,yes,no
150,51,46-55,blue-collar,married,unknown,unknown,no,no
151,43,36-45,technician,single,professional.course,no,yes,no
152,59,56-65,services,married,high.school,no,no,no
153,24,18-25,management,single,university.degree,no,yes,no
154,37,36-45,blue-collar,single,basic.9y,unknown,yes,yes
155,40,36-45,blue-collar,married,basic.9y,unknown,no,no
156,39,36-45,services,divorced,high.school,unknown,no,no
157,37,36-45,entrepreneur,married,basic.6y,no,no,no
158,38,36-45,services,married,high.school,no,yes,yes
159,56,56-65,admin.,divorced,unknown,unknown,no,no
160,40,36-45,blue-collar,married,unknown,no,no,no
161,54,46-55,management,divorced,university.degree,no,yes,no
162,43,36-45,blue-collar,married,high.school,unknown,no,yes
163,36,36-45,services,married,high.school,unknown,no,no
164,45,36-45,technician,married,university.degree,no,yes,yes
165,42,36-45,admin.,single,university.degree,unknown,no,no
166,43,36-45,services,married,high.school,no,no,no
167,46,46-55,management,married,basic.9y,no,no,no
168,44,36-45,services,married,high.school,no,yes,yes
169,51,46-55,admin.,single,basic.6y,no,no,no
170,28,26-35,services,married,high.school,no,yes,no
171,37,36-45,blue-collar,married,basic.9y,no,no,no
172,34,26-35,technician,married,high.school,no,no,no
173,46,46-55,blue-collar,married,basic.6y,unknown,yes,no
174,42,36-45,blue-collar,married,basic.9y,no,yes,yes
175,36,36-45,admin.,married,university.degree,no,yes,no
176,54,46-55,blue-collar,married,basic.4y,unknown,no,no
177,57,56-65,management,married,university.degree,no,no,no
178,51,46-55,technician,married,basic.6y,unknown,no,no
179,54,46-55,retired,married,high.school,unknown,no,no
180,49,46-55,blue-collar,married,basic.4y,unknown,no,no
181,34,26-35,admin.,married,university.degree,no,yes,no
182,41,36-45,technician,married,professional.course,no,no,no
183,38,36-45,blue-collar,single,basic.9y,no,yes,no
184,45,36-45,management,divorced,university.degree,no,no,no
185,42,36-45,technician,married,university.degree,no,no,no
186,34,26-35,blue-collar,single,basic.9y,unknown,yes,no
187,48,46-55,blue-collar,married,basic.4y,no,yes,no
188,37,36-45,admin.,married,high.school,unknown,yes,no
189,34,26-35,blue-collar,single,basic.9y,unknown,no,no
190,40,36-45,admin.,married,basic.9y,unknown,yes,no
191,43,36-45,blue-collar,married,basic.6y,no,yes,no
192,33,26-35,services,married,high.school,no,no,no
193,32,26-35,services,single,basic.6y,no,no,no
194,39,36-45,blue-collar,married,high.school,no,yes,no
195,43,36-45,admin.,married,unknown,no,no,no
196,44,36-45,blue-collar,married,basic.9y,no,yes,no
197,35,26-35,student,single,university.degree,unknown,no,no
198,35,26-35,student,single,university.degree,unknown,yes,yes
199,35,26-35,unemployed,married,professional.course,no,no,no
200,36,36-45,services,single,basic.4y,no,no,no
201,35,26-35,student,single,university.degree,unknown,yes,no
202,36,36-45,student,single,basic.9y,no,yes,no
203,55,46-55,housemaid,divorced,university.degree,no,no,no
204,59,56-65,admin.,married,university.degree,no,no,no
205,57,56-65,retired,married,unknown,unknown,no,no
206,39,36-45,blue-collar,married,professional.course,unknown,yes,no
207,39,36-45,housemaid,married,basic.4y,unknown,yes,no
208,30,26-35,blue-collar,single,unknown,no,yes,no
209,30,26-35,blue-collar,single,unknown,no,yes,yes
210,50,46-55,housemaid,married,basic.4y,unknown,no,no
211,40,36-45,services,married,high.school,no,no,no
212,43,36-45,technician,married,unknown,unknown,no,no
213,36,36-45,services,single,basic.6y,unknown,yes,no
214,46,46-55,technician,married,basic.4y,unknown,yes,no
215,40,36-45,technician,married,basic.9y,no,no,no
216,58,56-65,retired,married,university.degree,no,no,no
217,35,26-35,admin.,single,university.degree,no,no,no
218,43,36-45,retired,married,basic.4y,unknown,no,no
219,45,36-45,blue-collar,married,basic.4y,no,yes,yes
220,39,36-45,admin.,married,professional.course,no,yes,no
221,50,46-55,services,divorced,professional.course,no,yes,no
222,32,26-35,management,divorced,basic.4y,unknown,yes,no
223,39,36-45,admin.,married,high.school,unknown,no,no
224,52,46-55,self-employed,married,university.degree,unknown,no,no
225,44,36-45,admin.,married,professional.course,no,yes,no
226,56,56-65,blue-collar,married,basic.4y,no,no,no
227,33,26-35,services,married,high.school,unknown,no,yes
228,43,36-45,management,married,university.degree,unknown,no,yes
229,57,56-65,retired,married,high.school,no,no,no
230,36,36-45,technician,single,professional.course,no,no,no
231,34,26-35,management,married,university.degree,no,yes,no
232,34,26-35,services,single,basic.9y,no,no,no
233,30,26-35,technician,married,university.degree,unknown,no,no
234,33,26-35,services,divorced,unknown,no,no,no
235,32,26-35,technician,single,professional.course,no,no,no
236,36,36-45,technician,single,high.school,no,yes,no
237,36,36-45,blue-collar,single,high.school,no,no,yes
238,33,26-35,services,single,high.school,no,no,no
239,40,36-45,technician,divorced,professional.course,no,no,no
240,41,36-45,blue-collar,married,basic.4y,no,yes,no
241,51,46-55,services,married,basic.6y,no,yes,no
242,36,36-45,technician,married,professional.course,no,yes,no
243,28,26-35,services,married,unknown,no,no,no
244,53,46-55,services,married,high.school,no,yes,yes
245,58,56-65,blue-collar,married,basic.9y,unknown,yes,no
246,45,36-45,management,married,basic.9y,no,no,yes
247,43,36-45,technician,married,unknown,no,yes,no
248,33,26-35,admin.,married,high.school,no,no,yes
249,27,26-35,blue-collar,single,basic.6y,no,unknown,unknown
250,42,36-45,technician,married,high.school,no,no,no
251,43,36-45,admin.,divorced,basic.9y,no,no,no
252,42,36-45,admin.,married,university.degree,no,no,no
253,27,26-35,blue-collar,single,basic.6y,no,no,no
254,34,26-35,self-employed,single,university.degree,no,yes,no
255,31,26-35,student,single,university.degree,unknown,no,no
256,54,46-55,management,divorced,university.degree,no,no,no
257,40,36-45,self-employed,married,basic.4y,unknown,no,no
258,52,46-55,unemployed,married,high.school,unknown,yes,no
259,47,46-55,management,divorced,university.degree,no,no,no
260,49,46-55,housemaid,married,basic.9y,unknown,no,no
261,32,26-35,admin.,single,high.school,no,no,no
262,49,46-55,housemaid,single,high.school,unknown,yes,yes
263,50,46-55,blue-collar,married,basic.9y,unknown,no,no
264,47,46-55,technician,single,basic.9y,no,no,no
265,51,46-55,retired,married,professional.course,no,no,no
266,47,46-55,blue-collar,married,basic.6y,no,no,no
267,53,46-55,admin.,married,basic.9y,no,no,no
268,36,36-45,blue-collar,married,basic.9y,no,yes,no
269,42,36-45,blue-collar,divorced,basic.9y,no,yes,no
270,44,36-45,blue-collar,divorced,basic.6y,no,no,no
271,39,36-45,housemaid,married,basic.9y,no,yes,no
272,37,36-45,admin.,single,high.school,no,yes,yes
273,60,56-65,blue-collar,married,unknown,unknown,yes,no
274,36,36-45,services,married,high.school,no,no,no
275,42,36-45,management,divorced,university.degree,no,yes,no
276,31,26-35,admin.,married,high.school,no,yes,yes
277,53,46-55,technician,divorced,professional.course,unknown,no,yes
278,45,36-45,blue-collar,married,basic.4y,no,yes,no
279,37,36-45,technician,single,professional.course,no,yes,no
280,47,46-55,self-employed,married,professional.course,no,no,no
281,49,46-55,blue-collar,divorced,high.school,no,no,yes
282,35,26-35,services,divorced,high.school,no,no,no
283,38,36-45,unknown,married,unknown,unknown,no,no
284,38,36-45,services,single,high.school,unknown,no,no
285,50,46-55,blue-collar,divorced,high.school,unknown,no,yes
286,59,56-65,retired,married,professional.course,unknown,no,no
287,43,36-45,unknown,married,unknown,no,yes,no
288,42,36-45,admin.,married,high.school,no,yes,no
289,40,36-45,admin.,married,basic.6y,unknown,yes,no
290,46,46-55,blue-collar,married,unknown,unknown,no,no
291,57,56-65,housemaid,divorced,basic.4y,no,yes,yes
292,42,36-45,admin.,married,university.degree,no,yes,no
293,27,26-35,admin.,single,university.degree,no,no,no
294,36,36-45,admin.,married,high.school,no,no,no
295,58,56-65,blue-collar,married,professional.course,unknown,yes,no
296,40,36-45,management,married,university.degree,unknown,yes,no
297,34,26-35,admin.,single,basic.9y,unknown,no,no
298,33,26-35,admin.,divorced,high.school,no,no,no
299,56,56-65,retired,married,basic.6y,no,no,no
300,42,36-45,blue-collar,married,basic.9y,no,no,no
301,43,36-45,services,married,high.school,no,yes,no
302,54,46-55,management,single,basic.9y,no,yes,no
303,53,46-55,admin.,single,basic.6y,no,yes,yes
304,42,36-45,technician,single,unknown,no,no,no
305,40,36-45,services,married,basic.6y,unknown,no,no
306,54,46-55,technician,married,professional.course,no,yes,yes
307,40,36-45,housemaid,single,professional.course,no,no,no
308,26,26-35,admin.,single,university.degree,no,yes,no
309,33,26-35,admin.,married,high.school,no,no,no
310,35,26-35,blue-collar,married,basic.9y,unknown,no,no
311,29,26-35,services,single,high.school,no,yes,no
312,35,26-35,management,married,high.school,no,yes,no
313,50,46-55,self-employed,single,university.degree,no,no,yes
314,46,46-55,services,married,high.school,unknown,yes,no
315,49,46-55,entrepreneur,married,high.school,no,yes,no
316,42,36-45,technician,single,professional.course,unknown,yes,no
317,36,36-45,blue-collar,single,high.school,no,yes,yes
318,41,36-45,management,married,university.degree,unknown,no,no
319,57,56-65,management,married,professional.course,unknown,yes,no
320,32,26-35,services,single,high.school,no,yes,no
321,49,46-55,admin.,married,basic.9y,no,no,no
322,58,56-65,blue-collar,divorced,basic.4y,no,yes,no
323,52,46-55,technician,married,high.school,no,yes,no
324,50,46-55,services,divorced,professional.course,no,no,no
325,41,36-45,blue-collar,single,basic.9y,unknown,yes,no
326,33,26-35,entrepreneur,married,university.degree,no,yes,no
327,57,56-65,blue-collar,married,basic.4y,no,no,no
328,48,46-55,blue-collar,married,basic.6y,unknown,no,no
329,55,46-55,technician,married,professional.course,no,no,no
330,38,36-45,management,married,university.degree,no,no,no
331,38,36-45,services,married,high.school,no,yes,no
332,53,46-55,admin.,married,university.degree,no,yes,no
333,43,36-45,unemployed,single,university.degree,no,no,no
334,36,36-45,blue-collar,single,high.school,no,no,no
335,32,26-35,blue-collar,married,basic.9y,no,no,no
336,33,26-35,services,married,basic.4y,no,no,no
337,58,56-65,entrepreneur,married,basic.4y,no,yes,no
338,40,36-45,unemployed,divorced,high.school,unknown,no,no
339,57,56-65,management,married,university.degree,no,yes,no
340,46,46-55,admin.,married,university.degree,no,yes,no
341,36,36-45,technician,married,university.degree,no,no,no
342,41,36-45,self-employed,married,high.school,no,yes,no
343,57,56-65,admin.,divorced,basic.9y,no,no,no
344,49,46-55,blue-collar,married,basic.9y,unknown,yes,no
345,56,56-65,management,divorced,high.school,no,no,no
346,37,36-45,blue-collar,married,basic.9y,no,no,yes
347,46,46-55,admin.,single,high.school,no,yes,no
348,22,18-25,blue-collar,single,basic.9y,no,yes,no
349,41,36-45,technician,married,basic.6y,no,yes,no
350,38,36-45,admin.,single,university.degree,no,no,no
351,33,26-35,admin.,married,basic.9y,no,no,no
352,49,46-55,admin.,married,university.degree,no,yes,yes
353,30,26-35,blue-collar,single,unknown,no,no,no
354,33,26-35,admin.,married,basic.9y,no,yes,no
355,34,26-35,management,single,university.degree,no,no,no
356,30,26-35,student,single,unknown,unknown,no,no
357,59,56-65,management,married,basic.4y,unknown,yes,yes
358,59,56-65,management,married,basic.4y,unknown,unknown,unknown
359,41,36-45,self-employed,married,university.degree,no,no,no
360,48,46-55,housemaid,married,basic.6y,unknown,yes,yes
361,28,26-35,unknown,single,unknown,unknown,yes,yes
362,44,36-45,services,married,high.school,no,yes,no
363,59,56-65,retired,unknown,university.degree,unknown,no,no
364,50,46-55,management,married,high.school,unknown,no,no
365,35,26-35,admin.,married,university.degree,no,no,no
366,42,36-45,admin.,married,high.school,no,no,no
367,45,36-45,admin.,married,basic.9y,no,no,no
368,36,36-45,technician,married,professional.course,no,no,no
369,56,56-65,services,married,high.school,unknown,no,no
370,29,26-35,blue-collar,divorced,basic.4y,no,no,no
371,41,36-45,self-employed,married,university.degree,no,yes,yes
372,52,46-55,services,single,high.school,no,no,no
373,48,46-55,services,married,high.school,unknown,unknown,unknown
374,31,26-35,blue-collar,married,high.school,unknown,yes,no
375,43,36-45,unemployed,married,university.degree,unknown,yes,no
376,36,36-45,blue-collar,married,basic.4y,unknown,no,no
377,42,36-45,entrepreneur,married,university.degree,no,yes,no
378,52,46-55,services,divorced,basic.6y,no,no,no
379,39,36-45,admin.,married,high.school,no,yes,no
380,36,36-45,services,married,high.school,no,no,yes
381,42,36-45,blue-collar,married,basic.9y,unknown,yes,no
382,41,36-45,admin.,married,high.school,no,no,no
383,55,46-55,technician,married,basic.4y,no,no,yes
384,30,26-35,blue-collar,married,basic.9y,no,no,no
385,57,56-65,retired,unknown,basic.4y,no,no,no
386,45,36-45,entrepreneur,married,basic.4y,unknown,yes,no
387,51,46-55,blue-collar,married,basic.4y,unknown,yes,yes
388,39,36-45,self-employed,single,basic.9y,unknown,yes,yes
389,47,46-55,admin.,married,high.school,unknown,no,no
390,27,26-35,services,married,high.school,no,yes,no
391,34,26-35,technician,single,university.degree,no,yes,no
392,57,56-65,blue-collar,married,basic.4y,unknown,yes,no
393,43,36-45,entrepreneur,married,basic.4y,no,no,no
394,39,36-45,management,married,university.degree,unknown,no,no
395,38,36-45,blue-collar,married,basic.4y,unknown,yes,no
396,49,46-55,blue-collar,married,basic.9y,no,no,no
397,58,56-65,management,married,basic.6y,no,no,no
398,43,36-45,technician,married,professional.course,no,yes,no
399,50,46-55,unknown,married,unknown,unknown,yes,no
400,31,26-35,services,married,high.school,unknown,no,no
401,43,36-45,self-employed,divorced,university.degree,no,no,no
402,43,36-45,self-employed,married,basic.9y,unknown,no,no
403,30,26-35,self-employed,single,university.degree,no,yes,no
404,27,26-35,services,single,professional.course,no,yes,yes
405,51,46-55,services,married,unknown,unknown,no,no
406,37,36-45,technician,married,professional.course,no,yes,no
407,46,46-55,housemaid,married,basic.9y,no,yes,no
408,35,26-35,blue-collar,married,professional.course,no,no,no
409,47,46-55,admin.,divorced,university.degree,no,no,no
410,46,46-55,management,married,unknown,no,yes,no
411,40,36-45,technician,married,professional.course,unknown,no,yes
412,26,26-35,housemaid,married,university.degree,no,no,no
413,32,26-35,blue-collar,divorced,basic.9y,unknown,no,no
414,45,36-45,management,married,university.degree,no,yes,no
415,34,26-35,admin.,married,basic.9y,no,no,no
416,47,46-55,blue-collar,married,unknown,unknown,no,no
417,42,36-45,technician,married,professional.course,no,no,no
418,57,56-65,technician,married,basic.4y,unknown,no,yes
419,57,56-65,technician,married,basic.4y,unknown,no,no
420,38,36-45,blue-collar,married,basic.4y,no,no,yes
421,28,26-35,student,single,basic.9y,unknown,yes,no
422,60,56-65,management,married,university.degree,no,no,no
423,48,46-55,admin.,married,university.degree,no,yes,no
424,47,46-55,technician,married,professional.course,no,yes,no
425,40,36-45,admin.,married,high.school,no,no,no
426,51,46-55,management,married,professional.course,unknown,yes,no
427,48,46-55,unemployed,single,basic.4y,no,yes,no
428,54,46-55,housemaid,married,basic.4y,no,no,no
429,40,36-45,blue-collar,married,basic.6y,no,no,yes
430,44,36-45,admin.,single,basic.9y,unknown,no,no
431,42,36-45,technician,divorced,high.school,no,no,no
432,52,46-55,self-employed,married,university.degree,no,yes,no
433,31,26-35,blue-collar,single,basic.9y,no,yes,no
434,32,26-35,services,married,high.school,no,no,no
435,44,36-45,admin.,married,high.school,no,yes,yes
436,39,36-45,management,married,basic.6y,unknown,no,no
437,52,46-55,admin.,married,basic.4y,no,yes,no
438,42,36-45,technician,single,professional.course,unknown,unknown,unknown
439,43,36-45,management,married,professional.course,no,yes,no
440,29,26-35,admin.,married,university.degree,unknown,yes,no
441,57,56-65,blue-collar,divorced,basic.4y,no,no,no
442,44,36-45,blue-collar,married,basic.9y,unknown,no,no
443,59,56-65,unknown,married,unknown,unknown,no,no
444,39,36-45,blue-collar,married,basic.4y,unknown,no,no
445,57,56-65,retired,married,university.degree,no,no,no
446,41,36-45,management,married,unknown,unknown,no,no
447,37,36-45,technician,single,high.school,unknown,no,yes
448,42,36-45,retired,married,basic.4y,no,no,no
449,49,46-55,unknown,married,unknown,unknown,yes,no
450,54,46-55,management,married,basic.6y,unknown,yes,yes
451,36,36-45,admin.,married,university.degree,no,unknown,unknown
452,32,26-35,admin.,single,university.degree,unknown,no,no
453,35,26-35,technician,married,professional.course,no,yes,no
454,45,36-45,housemaid,married,professional.course,unknown,no,no
455,56,56-65,technician,married,unknown,no,yes,no
456,34,26-35,technician,married,university.degree,no,yes,no
457,41,36-45,unemployed,married,basic.9y,unknown,no,no
458,41,36-45,services,married,basic.9y,no,no,no
459,36,36-45,blue-collar,married,basic.9y,unknown,no,no
460,32,26-35,admin.,single,university.degree,unknown,unknown,unknown
461,31,26-35,services,married,high.school,unknown,unknown,unknown
462,38,36-45,technician,married,professional.course,no,yes,no
463,35,26-35,admin.,divorced,university.degree,unknown,yes,no
464,53,46-55,admin.,married,professional.course,no,yes,no
465,51,46-55,admin.,married,basic.6y,unknown,yes,no
466,56,56-65,entrepreneur,married,university.degree,unknown,no,no
467,33,26-35,admin.,married,basic.9y,no,unknown,unknown
468,51,46-55,services,divorced,high.school,unknown,yes,no
469,39,36-45,services,married,high.school,unknown,yes,no
470,45,36-45,entrepreneur,married,university.degree,no,no,no
471,40,36-45,technician,single,university.degree,no,no,no
472,60,56-65,unknown,single,unknown,unknown,yes,no
473,33,26-35,technician,married,university.degree,no,yes,no
474,47,46-55,blue-collar,married,high.school,unknown,yes,no
475,48,46-55,blue-collar,married,basic.4y,no,no,no
476,43,36-45,entrepreneur,married,high.school,no,no,no
477,37,36-45,management,married,university.degree,no,yes,no
478,50,46-55,services,married,basic.9y,no,yes,yes
479,59,56-65,entrepreneur,married,high.school,no,yes,no
480,32,26-35,technician,married,unknown,unknown,yes,no
481,42,36-45,housemaid,single,basic.4y,unknown,yes,no
482,52,46-55,blue-collar,married,basic.4y,no,no,no
483,42,36-45,blue-collar,married,unknown,unknown,no,no
484,42,36-45,admin.,married,unknown,no,no,no
485,40,36-45,management,married,basic.9y,unknown,unknown,unknown
486,38,36-45,blue-collar,married,basic.9y,no,no,no
487,39,36-45,blue-collar,married,basic.6y,no,yes,no
488,39,36-45,blue-collar,married,basic.6y,no,no,no
489,38,36-45,admin.,married,high.school,no,no,no
490,47,46-55,admin.,single,unknown,unknown,yes,no
491,30,26-35,services,single,high.school,no,no,no
492,38,36-45,admin.,divorced,high.school,no,yes,yes
493,39,36-45,technician,divorced,university.degree,no,no,no
494,44,36-45,admin.,married,high.school,no,no,no
495,41,36-45,services,married,high.school,unknown,yes,yes
496,41,36-45,blue-collar,married,basic.6y,no,no,no
497,35,26-35,blue-collar,married,basic.9y,no,no,no
498,41,36-45,technician,married,high.school,no,no,no
499,35,26-35,admin.,single,high.school,no,yes,yes
500,33,26-35,blue-collar,single,basic.4y,unknown,no,no
501,38,36-45,admin.,single,basic.6y,unknown,no,no
502,33,26-35,self-employed,married,university.degree,no,no,no
503,55,46-55,self-employed,married,unknown,unknown,no,no
504,36,36-45,blue-collar,single,basic.9y,unknown,no,no
505,57,56-65,technician,married,professional.course,unknown,no,yes
506,32,26-35,entrepreneur,single,university.degree,no,yes,no
507,30,26-35,self-employed,single,high.school,no,yes,no
508,43,36-45,admin.,married,professional.course,no,yes,yes
509,46,46-55,admin.,married,university.degree,no,no,no
510,35,26-35,admin.,divorced,high.school,no,no,yes
511,34,26-35,admin.,single,university.degree,no,yes,yes
512,50,46-55,blue-collar,married,basic.4y,unknown,unknown,unknown
513,39,36-45,admin.,single,university.degree,no,no,no
514,39,36-45,blue-collar,married,basic.9y,unknown,no,no
515,42,36-45,entrepreneur,married,basic.6y,no,no,no
516,57,56-65,retired,married,university.degree,no,yes,no
517,45,36-45,blue-collar,married,basic.4y,unknown,no,no
518,40,36-45,technician,married,basic.4y,no,no,yes
519,42,36-45,blue-collar,married,high.school,no,no,yes
